#OTU ID	Group
ALH1	LH
ALH10	LH
ALH11	LH
ALH12	LH
ALH13	LH
ALH14	LH
ALH15	LH
ALH16	LH
ALH17	LH
ALH18	LH
ALH19	LH
ALH2	LH
ALH20	LH
ALH21	LH
ALH22	LH
ALH23	LH
ALH24	LH
ALH25	LH
ALH26	LH
ALH27	LH
ALH28	LH
ALH29	LH
ALH3	LH
ALH30	LH
ALH31	LH
ALH32	LH
ALH33	LH
ALH34	LH
ALH35	LH
ALH36	LH
ALH37	LH
ALH38	LH
ALH39	LH
ALH4	LH
ALH40	LH
ALH41	LH
ALH42	LH
ALH43	LH
ALH44	LH
ALH45	LH
ALH46	LH
ALH47	LH
ALH48	LH
ALH49	LH
ALH5	LH
ALH50	LH
ALH51	LH
ALH52	LH
ALH53	LH
ALH54	LH
ALH55	LH
ALH56	LH
ALH57	LH
ALH58	LH
ALH59	LH
ALH6	LH
ALH60	LH
ALH61	LH
ALH62	LH
ALH63	LH
ALH64	LH
ALH65	LH
ALH66	LH
ALH67	LH
ALH68	LH
ALH69	LH
ALH7	LH
ALH70	LH
ALH71	LH
ALH72	LH
ALH73	LH
ALH74	LH
ALH75	LH
ALH76	LH
ALH77	LH
ALH78	LH
ALH79	LH
ALH8	LH
ALH80	LH
ALH81	LH
ALH82	LH
ALH83	LH
ALH84	LH
ALH85	LH
ALH86	LH
ALH87	LH
ALH88	LH
ALH89	LH
ALH9	LH
ALH90	LH
ALH91	LH
ALH92	LH
ALH93	LH
ALH94	LH
ALH95	LH
ALH96	LH
GLH10	LH
GLH12	LH
GLH13	LH
GLH15	LH
GLH16	LH
GLH17	LH
GLH18	LH
GLH21	LH
GLH22	LH
GLH23	LH
GLH24	LH
GLH25	LH
GLH26	LH
GLH27	LH
GLH28	LH
GLH29	LH
GLH30	LH
GLH31	LH
GLH32	LH
GLH33	LH
GLH34	LH
GLH35	LH
GLH36	LH
GLH37	LH
GLH38	LH
GLH39	LH
GLH40	LH
GLH41	LH
GLH43	LH
GLH44	LH
GLH45	LH
GLH46	LH
GLH47	LH
GLH48	LH
GLH49	LH
GLH50	LH
GLH51	LH
GLH52	LH
GLH53	LH
GLH55	LH
GLH56	LH
GLH57	LH
GLH58	LH
GLH59	LH
GLH61	LH
GLH62	LH
GLH63	LH
GLH64	LH
GLH65	LH
GLH66	LH
GLH68	LH
GLH69	LH
GLH7	LH
GLH71	LH
GLH73	LH
GLH74	LH
GLH76	LH
GLH77	LH
GLH79	LH
GLH8	LH
GLH80	LH
GLH81	LH
GLH82	LH
GLH84	LH
GLH85	LH
GLH87	LH
GLH88	LH
GLH89	LH
GLH90	LH
GLH91	LH
GLH92	LH
GLH94	LH
GLH95	LH
HLH1	LH
HLH10	LH
HLH11	LH
HLH12	LH
HLH13	LH
HLH14	LH
HLH15	LH
HLH16	LH
HLH17	LH
HLH18	LH
HLH19	LH
HLH2	LH
HLH20	LH
HLH21	LH
HLH22	LH
HLH23	LH
HLH24	LH
HLH25	LH
HLH26	LH
HLH27	LH
HLH28	LH
HLH29	LH
HLH3	LH
HLH30	LH
HLH31	LH
HLH32	LH
HLH33	LH
HLH34	LH
HLH35	LH
HLH4	LH
HLH5	LH
HLH6	LH
HLH7	LH
HLH8	LH
HLH9	LH
ILH1	LH
ILH10	LH
ILH11	LH
ILH12	LH
ILH13	LH
ILH14	LH
ILH15	LH
ILH16	LH
ILH17	LH
ILH18	LH
ILH19	LH
ILH2	LH
ILH20	LH
ILH21	LH
ILH24	LH
ILH25	LH
ILH26	LH
ILH27	LH
ILH28	LH
ILH29	LH
ILH3	LH
ILH30	LH
ILH31	LH
ILH33	LH
ILH34	LH
ILH35	LH
ILH36	LH
ILH37	LH
ILH38	LH
ILH39	LH
ILH4	LH
ILH40	LH
ILH42	LH
ILH43	LH
ILH5	LH
ILH6	LH
ILH7	LH
ILH8	LH
ILH9	LH
AHH1	HH
AHH10	HH
AHH11	HH
AHH12	HH
AHH13	HH
AHH14	HH
AHH15	HH
AHH16	HH
AHH17	HH
AHH18	HH
AHH19	HH
AHH2	HH
AHH20	HH
AHH21	HH
AHH22	HH
AHH23	HH
AHH24	HH
AHH25	HH
AHH26	HH
AHH27	HH
AHH28	HH
AHH29	HH
AHH3	HH
AHH30	HH
AHH31	HH
AHH32	HH
AHH33	HH
AHH34	HH
AHH35	HH
AHH36	HH
AHH37	HH
AHH38	HH
AHH39	HH
AHH4	HH
AHH40	HH
AHH41	HH
AHH42	HH
AHH43	HH
AHH44	HH
AHH45	HH
AHH46	HH
AHH47	HH
AHH48	HH
AHH49	HH
AHH5	HH
AHH50	HH
AHH6	HH
AHH7	HH
AHH8	HH
AHH9	HH
CHH1	HH
CHH10	HH
CHH11	HH
CHH12	HH
CHH13	HH
CHH14	HH
CHH15	HH
CHH16	HH
CHH17	HH
CHH18	HH
CHH19	HH
CHH2	HH
CHH20	HH
CHH3	HH
CHH4	HH
CHH5	HH
CHH6	HH
CHH7	HH
CHH8	HH
CHH9	HH
HHH1	HH
HHH10	HH
HHH11	HH
HHH12	HH
HHH13	HH
HHH14	HH
HHH15	HH
HHH16	HH
HHH17	HH
HHH18	HH
HHH19	HH
HHH2	HH
HHH20	HH
HHH21	HH
HHH22	HH
HHH23	HH
HHH24	HH
HHH25	HH
HHH26	HH
HHH27	HH
HHH28	HH
HHH29	HH
HHH3	HH
HHH30	HH
HHH31	HH
HHH32	HH
HHH33	HH
HHH34	HH
HHH35	HH
HHH4	HH
HHH5	HH
HHH6	HH
HHH7	HH
HHH8	HH
HHH9	HH
